datetime,symbol,open,high,low,close,volume
2022-01-22 01:00:00,Binance:AVAXUSD,66.1390797,67.528,53.1622104,59.8513561,318585.39000000065
2022-01-23 01:00:00,Binance:AVAXUSD,59.8537961,66.8896426,59.038229,64.8781522,268105.18
2022-01-24 01:00:00,Binance:AVAXUSD,64.8527847,64.854387,55.2366794,63.0884852,224702.51999999996
2022-01-25 01:00:00,Binance:AVAXUSD,62.9789256,70.6588551,61.7107766,68.0279658,206129.2199999999
2022-01-26 01:00:00,Binance:AVAXUSD,68.0578458,73.2433962,64.5029063,65.8869759,250217.5200000001
2022-01-27 01:00:00,Binance:AVAXUSD,65.8789997,67.9517893,61.1391372,64.7924788,144499.25999999978
2022-01-28 01:00:00,Binance:AVAXUSD,64.727717,67.4960309,61.775062,67.0920264,112943.07999999993
2022-01-29 01:00:00,Binance:AVAXUSD,67.0607141,73.2794536,66.8941049,71.9509638,191216.48999999987
2022-01-30 01:00:00,Binance:AVAXUSD,71.9523238,72.3997773,66.854233,68.0807126,112641.91999999982
2022-01-31 01:00:00,Binance:AVAXUSD,68.0135452,70.7031461,64.2986062,69.9510717,156613.81999999992
2022-02-01 01:00:00,Binance:AVAXUSD,69.9494327,73.9198827,68.4631162,73.350603,196015.41999999995
2022-02-02 01:00:00,Binance:AVAXUSD,73.3485383,74.8868886,67.4946455,67.8287033,199422.49000000002
2022-02-03 01:00:00,Binance:AVAXUSD,67.8222374,69.3767053,65.0580938,68.4832387,174102.58000000005
2022-02-04 01:00:00,Binance:AVAXUSD,68.3652925,77.9256381,67.5020019,77.8101265,171187.4900000002
2022-02-05 01:00:00,Binance:AVAXUSD,77.8670623,80.9679188,75.0055315,77.0781244,159324.0299999999
2022-02-06 01:00:00,Binance:AVAXUSD,77.0920393,79.2041634,74.4193613,78.9984031,127922.96000000002
2022-02-07 01:00:00,Binance:AVAXUSD,78.9945758,85.3775068,77.5191194,83.2198724,180294.06
2022-02-08 01:00:00,Binance:AVAXUSD,83.3680672,96.4876751,81.7191666,86.4345282,525071.899999999
2022-02-09 01:00:00,Binance:AVAXUSD,86.4807328,92.2441929,84.4724549,90.1382004,167475.33999999997
2022-02-10 01:00:00,Binance:AVAXUSD,90.1231744,95.163791,85.1139004,91.5672302,242106.37999999992
2022-02-11 01:00:00,Binance:AVAXUSD,91.5347094,92.9143289,81.0537498,82.6732301,170759.73999999985
2022-02-12 01:00:00,Binance:AVAXUSD,82.6734973,85.7387692,79.8915661,82.2618293,166128.25000000015
2022-02-13 01:00:00,Binance:AVAXUSD,82.2725329,83.3833664,77.579146,77.971092,104678.3500000002
2022-02-14 01:00:00,Binance:AVAXUSD,78.0275961,82.6066843,76.2127036,81.8964469,145213.06999999986
2022-02-15 01:00:00,Binance:AVAXUSD,81.9291207,93.725807,81.4563463,93.0736957,196499.61000000004
2022-02-16 01:00:00,Binance:AVAXUSD,92.8569156,97.3787416,91.4503634,95.3609545,261405.60999999993
2022-02-17 01:00:00,Binance:AVAXUSD,95.3817917,98.7722222,86.3562662,88.3094494,232982.5499999999
2022-02-18 01:00:00,Binance:AVAXUSD,88.3141634,90.0512546,82.5646356,83.7058723,152302.45000000027
2022-02-19 01:00:00,Binance:AVAXUSD,83.7081573,86.3856106,81.0454903,85.0768377,110760.15000000033
2022-02-20 01:00:00,Binance:AVAXUSD,85.0587624,85.7442545,76.5962468,77.3719302,127840.32999999986
2022-02-21 01:00:00,Binance:AVAXUSD,77.3780966,82.7345188,69.4467592,70.0546451,224877.5699999998
2022-02-22 01:00:00,Binance:AVAXUSD,70.1425141,75.0216624,67.2993909,74.4651266,179021.88000000006
2022-02-23 01:00:00,Binance:AVAXUSD,74.5054142,82.4513844,73.2994536,73.4838577,224501.6199999999
2022-02-24 01:00:00,Binance:AVAXUSD,73.4283107,80.8293824,64.5148557,76.464396,368307.92999999895
2022-02-25 01:00:00,Binance:AVAXUSD,76.4987456,82.0062014,72.7333318,80.9829834,180524.24000000008
2022-02-26 01:00:00,Binance:AVAXUSD,80.987135,84.9721115,78.2118452,81.8286294,169822.04000000004
2022-02-27 01:00:00,Binance:AVAXUSD,81.862986,82.3632567,73.1546988,75.0869495,172024.80000000028
2022-02-28 01:00:00,Binance:AVAXUSD,75.025797,86.1171868,71.8789787,84.5814747,210675.97999999995
2022-03-01 01:00:00,Binance:AVAXUSD,84.6505157,90.8811261,83.5085987,86.9301438,223134.89
2022-03-02 01:00:00,Binance:AVAXUSD,86.8904315,89.9373406,82.4404475,83.4172211,130476.1200000001
2022-03-03 01:00:00,Binance:AVAXUSD,83.288821,84.3679137,77.2016415,78.5209468,185595.94000000024
2022-03-04 01:00:00,Binance:AVAXUSD,78.4512114,82.1774263,75.0133138,75.8056705,221516.52000000002
2022-03-05 01:00:00,Binance:AVAXUSD,75.8737297,78.6693755,73.450859,76.7053362,112290.87000000007
2022-03-06 01:00:00,Binance:AVAXUSD,76.6704283,77.0794982,72.1804669,72.5080433,94938.20000000007
2022-03-07 01:00:00,Binance:AVAXUSD,72.5727964,76.4690602,70.4452455,71.7407946,131298.1499999999
2022-03-08 01:00:00,Binance:AVAXUSD,71.763591,76.6195727,71.2411889,73.0405989,178900.59000000003
2022-03-09 01:00:00,Binance:AVAXUSD,73.0317467,80.5136634,72.3524588,77.6253032,220300.65999999986
2022-03-10 01:00:00,Binance:AVAXUSD,77.7039939,79.0229422,71.5636546,73.9542314,118308.55999999997
2022-03-11 01:00:00,Binance:AVAXUSD,73.9707706,77.0333944,70.8040176,71.2420557,244063.91000000003
2022-03-12 01:00:00,Binance:AVAXUSD,71.1277693,73.6145696,70.7556923,70.9742467,76112.09999999989
2022-03-13 01:00:00,Binance:AVAXUSD,70.8800054,71.9530118,67.2610424,67.9516734,95742.46999999994
2022-03-14 01:00:00,Binance:AVAXUSD,67.9277568,71.5014849,65.5712437,68.964671,195712.63999999993
2022-03-15 01:00:00,Binance:AVAXUSD,68.9434528,72.2681162,66.0414637,69.8842135,124493.90000000002
2022-03-16 01:00:00,Binance:AVAXUSD,69.9772149,74.7496566,68.1064876,74.124369,157111.21999999977
2022-03-17 01:00:00,Binance:AVAXUSD,74.0794532,81.7883039,73.2307626,79.528415,262068.79999999938
2022-03-18 01:00:00,Binance:AVAXUSD,79.5048898,87.1334742,76.5423505,85.7335323,309564.5000000004
2022-03-19 01:00:00,Binance:AVAXUSD,85.8341492,92.3389001,85.2583804,89.5828186,262535.47999999963
2022-03-20 01:00:00,Binance:AVAXUSD,89.5576164,90.0663241,84.5687741,84.8622272,190546.70999999996
2022-03-21 01:00:00,Binance:AVAXUSD,84.8949878,92.5685967,83.0450264,86.2810638,270737.12000000005
2022-03-22 01:00:00,Binance:AVAXUSD,86.2507593,90.1843591,83.7568289,83.9853403,243371.93999999983
2022-03-23 01:00:00,Binance:AVAXUSD,83.9903775,87.1885545,82.2590957,86.0442349,248089.74999999997
2022-03-24 01:00:00,Binance:AVAXUSD,86.0470384,88.3150877,83.6891181,87.5600279,159308.37000000026
2022-03-25 01:00:00,Binance:AVAXUSD,87.5098899,87.7885207,82.4813294,83.5890468,122553.14999999989
2022-03-26 01:00:00,Binance:AVAXUSD,83.6474457,86.7630536,82.515209,85.9364819,70799.49999999993
2022-03-27 01:00:00,Binance:AVAXUSD,85.9456092,90.0585197,84.472043,89.9882347,75069.85000000014
2022-03-28 02:00:00,Binance:AVAXUSD,89.8818464,96.3510087,88.6266956,89.5721961,210188.78999999975
2022-03-29 02:00:00,Binance:AVAXUSD,89.6399799,96.4893307,89.5031537,92.7727069,149652.87000000005
2022-03-30 02:00:00,Binance:AVAXUSD,92.6940122,100.4874757,89.4635632,95.5275908,182265.88999999972
2022-03-31 02:00:00,Binance:AVAXUSD,95.5190639,101.9914141,93.7655689,97.4503723,300998.3000000001
2022-04-01 02:00:00,Binance:AVAXUSD,97.2998619,99.810458,90.4826733,96.8905213,151333.37000000005
2022-04-02 02:00:00,Binance:AVAXUSD,96.7077196,103.6467107,95.7653358,96.2296481,163763.35999999996
